Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
Guinea-Bissau,616409,711827,800854,1012280,1243229,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283
Eq. Guinea,255323,306515,255325,426846,614323,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689
Greece,8331725,8792806,9642505,10196792,10805808,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421
Grenada,89869,94426,89005,96283,101619,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825
Greenland,32500,46400,50200,55600,56200,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171
Guatemala,4210747,5621792,7283459,9263813,11650743,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503
Guam,66742,83877,104133,130482,155329,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967,161797,162896,164229
Guyana,571819,704934,780153,743309,753301,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393,768514,773303,777859
High income,780501923,876786721,962228266,1037334467,1115010208,1154156034,1162908282,1172156434,1181962982,1190790909,1198787232,1204631343,1212058100,1219556921,1227211897,1234714041,1242137612,1249066228
"Hong Kong SAR, China",3075605,3959000,5063100,5704500,6665000,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700
Honduras,2038637,2716659,3678286,4955328,6524283,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867,9265067
Heavily indebted poor countries (HIPC),162495580,208415064,271603169,355762200,474935556,547744433,563415107,579434057,595849807,612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976,765112280
Croatia,4140000,4411000,4588000,4780000,4426000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4174349,4125700
Haiti,3866159,4708642,5688836,7099732,8549200,9263404,9409457,9556889,9705029,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334,10981229
Hungary,9983967,10337910,10711122,10373988,10210971,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9781127
IBRD only,1917374485,2368641004,2895417606,3471574806,3986056196,4210445215,4254416829,4297926816,4341646260,4385943475,4430022932,4474450995,4519551913,4564885065,4610015643,4654714482,4699231955,4743263932
